rng,A,B,gp
2019-01-07,10.0,36.0,gp1
2019-01-14,,21.0,gp1
2019-01-21,91.0,107.0,gp4
2019-01-28,15.0,39.0,gp2
2019-02-04,15.0,24.0,gp1
2019-02-11,22.0,56.0,gp2
2019-02-18,13.0,,gp1
2019-02-25,22.0,56.0,gp2
2019-03-04,36.0,48.0,gp2
2019-03-11,,31.0,gp1
2019-03-18,18.0,48.0,gp2
2019-03-25,43.0,89.0,gp3
2019-04-01,20.0,50.0,gp2
2019-04-08,6.0,34.0,gp1
2019-04-15,21.0,39.0,gp2
2019-04-22,5.0,,gp1
2019-04-29,94.0,109.0,gp4
2019-05-06,30.0,40.0,gp2
2019-05-13,,42.0,gp2
2019-05-20,29.0,53.0,gp2
2019-05-27,49.0,83.0,gp3
2019-06-03,21.0,36.0,gp2
2019-06-10,16.0,34.0,gp1
2019-06-17,30.0,51.0,gp2
2019-06-24,,58.0,gp2
2019-07-01,45.0,68.0,gp3
2019-07-08,23.0,46.0,gp2
2019-07-15,29.0,45.0,gp2
2019-07-22,27.0,57.0,gp2
2019-07-29,37.0,47.0,gp2
2019-08-05,40.0,88.0,gp3
2019-08-12,17.0,40.0,gp2
2019-08-19,71.0,112.0,gp4
2019-08-26,50.0,86.0,gp3
2019-09-02,83.0,102.0,gp4
2019-09-09,57.0,74.0,gp3
2019-09-16,41.0,58.0,gp3
2019-09-23,23.0,53.0,gp2
2019-09-30,69.0,77.0,gp3
2019-10-07,41.0,88.0,gp3
2019-10-14,11.0,33.0,gp1
2019-10-21,36.0,54.0,gp2
2019-10-28,35.0,48.0,gp2
2019-11-04,35.0,56.0,gp2
2019-11-11,81.0,114.0,gp4
2019-11-18,97.0,96.0,gp4
2019-11-25,,53.0,gp2
2019-12-02,56.0,77.0,gp3
2019-12-09,17.0,21.0,gp1
2019-12-16,12.0,26.0,gp1
2019-12-23,20.0,35.0,gp2
2019-12-30,14.0,34.0,gp1
2020-01-06,2.0,32.0,gp1
2020-01-13,19.0,30.0,gp1
2020-01-20,10.0,24.0,gp1
2020-01-27,41.0,79.0,gp3
2020-02-03,,39.0,gp1
2020-02-10,17.0,38.0,gp2
2020-02-17,57.0,55.0,gp3
2020-02-24,63.0,64.0,gp3
2020-03-02,63.0,114.0,gp4
2020-03-09,62.0,90.0,gp4
2020-03-16,24.0,55.0,gp2
2020-03-23,64.0,81.0,gp4
2020-03-30,51.0,62.0,gp3
2020-04-06,,37.0,gp1
2020-04-13,61.0,65.0,gp3
2020-04-20,17.0,22.0,gp1
2020-04-27,,70.0,gp3
2020-05-04,28.0,58.0,gp2
2020-05-11,20.0,44.0,gp2
2020-05-18,83.0,100.0,gp4
2020-05-25,9.0,39.0,gp1
2020-06-01,38.0,42.0,gp2
2020-06-08,94.0,119.0,gp4
2020-06-15,69.0,73.0,gp3
2020-06-22,66.0,86.0,gp4
2020-06-29,90.0,101.0,gp4
2020-07-06,52.0,67.0,gp3
2020-07-13,34.0,36.0,gp2
2020-07-20,5.0,31.0,gp1
2020-07-27,83.0,100.0,gp4
2020-08-03,11.0,26.0,gp1
2020-08-10,6.0,22.0,gp1
2020-08-17,,55.0,gp3
2020-08-24,11.0,22.0,gp1
2020-08-31,18.0,,gp2
2020-09-07,36.0,39.0,gp2
2020-09-14,35.0,71.0,gp3
2020-09-21,38.0,49.0,gp2
2020-09-28,39.0,62.0,gp3
2020-10-05,33.0,46.0,gp2
2020-10-12,76.0,86.0,gp4
2020-10-19,10.0,,gp1
2020-10-26,9.0,22.0,gp1
2020-11-02,44.0,56.0,gp3
2020-11-09,36.0,,gp2
2020-11-16,6.0,36.0,gp1
2020-11-23,,57.0,gp3
2020-11-30,2.0,33.0,gp1
2020-12-07,97.0,102.0,gp4
2020-12-14,55.0,,gp3
2020-12-21,15.0,59.0,gp2
2020-12-28,18.0,29.0,gp1
2021-01-04,29.0,58.0,gp2
2021-01-11,38.0,52.0,gp2
2021-01-18,42.0,63.0,gp3
2021-01-25,56.0,55.0,gp3
2021-02-01,64.0,88.0,gp3
2021-02-08,53.0,70.0,gp3
2021-02-15,92.0,93.0,gp4
2021-02-22,35.0,48.0,gp2
2021-03-01,1.0,29.0,gp1
2021-03-08,50.0,65.0,gp3
2021-03-15,15.0,53.0,gp2
2021-03-22,1.0,39.0,gp1
2021-03-29,58.0,61.0,gp3
